"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NAPEPLD",2488.18323737301,-1.08288358685087,0.193108075337317,-5.60765563511164,2.05085567555528e-08,4.65751572116055e-07
"DNAJC2",4973.46439302782,-1.25140695907542,0.236502081461979,-5.29131477972468,1.21440139453211e-07,2.25523047819235e-06
"SLC26A5",3438.52543400331,-1.05550765602041,0.2587448110477,-4.07933844835954,4.51640431868015e-05,0.000372109405752503
"RELN",372.511898191335,1.26916167256016,0.335302907474426,3.7851197954702,0.000153634552918162,0.00105468197318083
"NAMPTP1",10386.5121985855,-2.15227419266754,0.352791438543818,-6.10069847939413,1.05605956552111e-09,3.4184428123509e-08
"PRKAR2B",369.456304643332,1.94467651563509,0.381147081071095,5.10216819756349,3.35784114840834e-07,5.55970244776256e-06
"DLD",9097.75756460527,-1.19575008243853,0.249751378704198,-4.78776168781339,1.68651747982537e-06,2.2428757782699e-05
"LAMB1",8201.22414976065,1.11439211546911,0.227194129175041,4.90502161968513,9.34170493052133e-07,1.3470695160833e-05
"LOC112533030",40.2871239823749,1.336928507583,0.513781817559026,2.60213277677816,0.00926459755385427,0.032555299923033
"LAMB4",35.1195402524206,1.52116540722727,0.496373177009675,3.06456004813013,0.00217990408575751,0.00983409428476864
"TPRKB",892.885221943282,-1.33518625619053,0.212724936674619,-6.27658551490281,3.46089072844107e-10,1.27778826993631e-08
"HIST1H2B5L",1029.23414097755,-1.25034659590861,0.206337778800197,-6.05970754933521,1.36369261788382e-09,4.2589696583658e-08
"GRAMD4",2278.41873897062,-1.68288872954806,0.430828319890426,-3.90617016535977,9.37704896234605e-05,0.000685090430654162
"ALG12",1024.214084744,1.09001849680524,0.313322200116963,3.47890604750743,0.000503465064811274,0.00291163341606892
"SELENOO",1966.74200240755,-1.72414196171,0.34938253559489,-4.93482583144668,8.02223154261663e-07,1.17497648949008e-05
"HDAC10",121.668361020615,1.41258925229501,0.358372772084939,3.94167571402498,8.09143258570768e-05,0.000605396310435473
"MAPK12",111.740182127379,1.06465768079883,0.383385987254522,2.77698642149909,0.00548654710005398,0.0211275362422357
"GPR37",114.309805027116,3.68024633914714,0.710002793551128,5.18342515349853,2.17847674137619e-07,3.79604662083729e-06
"LMOD2",2847.35463375601,5.95769093060941,0.889437321422742,6.69826955437343,2.10901976497293e-11,1.05706111607313e-09
"ASB15",3154.75920756839,-1.83566135447196,0.236219649402113,-7.7709934762757,7.7872910039022e-15,7.80613122407293e-13
"IQUB",168.804624774254,-1.37161240017982,0.353852505173256,-3.87622633760426,0.000106089005269498,0.000764563370817402
"WNT16",149.028183564381,4.20556484140115,1.04620715225833,4.01982038865159,5.8242527255112e-05,0.00045819912264623
"KCND2",10.6580453880513,4.13035730549402,0.990767883944432,4.16884456231089,3.06147676576496e-05,0.000265741314235045
"CTTNBP2",1798.82220400585,-2.14741366216674,0.224715518332945,-9.55614315423054,1.22226980130806e-21,3.35135594785128e-19
"WNT2",80.2835277038392,1.72477399698267,0.704692954581725,2.44755391091773,0.0143829606270928,0.0464444580693014
"LOC121106667",34.0923032786598,-1.89100302689117,0.685382059083098,-2.75904949922522,0.0057969753516072,0.02205358200994
"CAV1",10888.2659801145,1.22199555013663,0.182505638643528,6.69565915452864,2.14701629135681e-11,1.06659596662861e-09
"LOC121107739",31.8907164063509,3.88629740835515,0.805154967253722,4.8267694622947,1.38765596995852e-06,1.8857759154429e-05
"TES",1175.81234218554,1.57229625724367,0.376847389073085,4.17223603727487,3.01624933888449e-05,0.000262303959531256
"PPP1R3A",29677.0433244814,-1.73987872693567,0.261769668929137,-6.64660170161528,2.99937229921071e-11,1.43761687708956e-09
"GPR85",16.0093381770459,-1.95504915924788,0.802437387056621,-2.43638842205383,0.0148347453493891,0.0475901285339574
"AVPR2",40.4607631908475,1.70278422439079,0.513117340424254,3.31850843899156,0.000904995878551812,0.00474112058319712
"NRCAM",61.1095405024615,1.83318619532867,0.536976544445624,3.41390366914677,0.000640392138610332,0.00355466252586771
"ADAMTS20",1880.09641254058,4.01616802458392,0.375463950458857,10.6965476170901,1.05641146335199e-26,5.3234572254589e-24
"LOC121106856",256.545623142607,-1.97595172100513,0.41092567187804,-4.80853803067231,1.52038107092246e-06,2.03938885376614e-05
"DBX2",43.8289982119124,-1.07751669182984,0.405461439438844,-2.6575071930912,0.00787209105201155,0.0284227609730355
"SLC38A2",9750.2991545938,1.61458484424051,0.465564334884598,3.46801660535428,0.000524314888922398,0.00301166084533521
"LOC124417321",11.949532940028,2.47510429354588,0.921811624063611,2.68504348278329,0.00725203706214069,0.0265022012982386
"LOC112533248",38.5289333769906,3.30651130682829,0.696129744323082,4.74984919663725,2.03568396178732e-06,2.62848528168452e-05
"SLC38A4",930.58307108949,1.39939665672125,0.486610504726121,2.87580445372604,0.00402999289236672,0.0163324963238797
"AMIGO2",54.1212019884635,-1.15313082729781,0.335457456094247,-3.43748754528751,0.000587137720702934,0.00331331198623069
"ATP23",821.667582168534,-1.031169078303,0.152268136885177,-6.77206078301591,1.26960773848108e-11,6.64939221460107e-10
"LRIG3",244.484511194134,1.37207331333426,0.280651135034458,4.88889279983063,1.01404694116884e-06,1.4377874690565e-05
"SLC16A7",1006.98075175642,2.90166073698393,0.535203204978045,5.42160568172039,5.90660605759521e-08,1.19835331821396e-06
"SRGAP1",1450.66329922824,1.44156396159097,0.263017061582502,5.48087623258155,4.23224484825767e-08,8.88628436889236e-07
"LOC121113431",4.10761902943155,-2.86402276369726,1.09479744715924,-2.6160298154958,0.00889587892588651,0.0314970874616699
"DYRK2",1813.46859647621,1.19190701863822,0.299335146322328,3.98184788282348,6.83815413924146e-05,0.000525979306626061
"LOC121109193",9.98241340234755,7.25276890789213,1.77350509290053,4.0895111815159,4.32283230281033e-05,0.000359016517977277
"CPM",889.430305517492,1.26311174413363,0.24555834656569,5.14383551526208,2.6918524022235e-07,4.58771371475843e-06
"LOC121109492",3.53261112885847,4.43922822804584,1.70026153541905,2.61090904873746,0.00903019062955066,0.0318882261840563
"LYZ",93.4564827353373,-3.59606191426701,0.574535221303024,-6.25908000228651,3.87255183942222e-10,1.41298882673243e-08
"KCNMB4",42.7815764502721,1.21768711293606,0.405899817392954,2.99996960027505,0.00270006552949295,0.0117021668520214
