"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TIMP3",32756.6170996651,-1.53488653568861,0.34336821974226,-4.47008909805553,7.81870191995119e-06,0.000566694345674116
"TXNRD1",948.116999973548,-1.07184398034874,0.336899515579976,-3.1814945726578,0.00146517268125215,0.0383966105910157
"PAH",15.753423352486,2.72067823440406,0.650768932423591,4.18071315155092,2.90596262982131e-05,0.00175825222250629
"LOC121109115",20.5667179662601,7.96960283544005,1.39873443919599,5.69772403689516,1.21417373388557e-08,1.83242666284535e-06
"MYBPC1",27735.2998572144,-4.63460883262793,0.523310214064394,-8.85633169020781,8.26905878969179e-19,6.65580479629335e-16
"LOC112533534",229.727274520144,-5.37238922921267,0.713899319786157,-7.52541581188497,5.25528070091487e-14,2.53800027678754e-11
"PTN",398.593175531061,-2.02668727549536,0.616867347279019,-3.28545072848322,0.00101819348671673,0.0295206252246534
"LRTM2",21.5666484993966,-2.42045302971078,0.67085781509731,-3.60799706769412,0.000308569976695418,0.0121899872154674
"BPGM",29817.425445655,3.19728833596702,0.298806584478485,10.7001937107488,1.01565669523878e-26,1.71676451196212e-23
"LOC107053343",485.121593974104,1.12318433116321,0.181300887260426,6.19513973778754,5.82333429098503e-10,1.14455604093628e-07
"RERG",1044.34059340433,-1.46398356534832,0.312325782828987,-4.68736058895885,2.76751099790711e-06,0.000233105514164128
"LDHB",4848.36740619397,-1.39141965347806,0.332390843161131,-4.18609502068488,2.83794581924369e-05,0.00173553210208772
"LOC124417680",19.0019845285008,2.11998794859566,0.563877530930074,3.75966026718407,0.000170144251784549,0.00752866043956604
"TIGAR",1023.07982191488,1.40489286248253,0.372342972813411,3.77311501776764,0.000161221916707429,0.00720934936006793
"LOC112530139",120.287482075402,1.45388800805724,0.338673318543143,4.29289208347257,1.76360737344312e-05,0.00115097511325517
"NTF3",66.1217495029825,-1.32583312804257,0.40170231657618,-3.30053642543816,0.000965001860016714,0.0283676981562826
"VAMP1",521.896337966497,1.61561329130936,0.234287511716082,6.89585748499997,5.3540850997786e-12,1.67592778595477e-09
"SCNN1A",178.685131331502,1.35090886826422,0.342144230328007,3.9483608037731,7.86881480023536e-05,0.00404275308718475
"CNP1",115.991858665881,2.41473707757415,0.347503219957753,6.94881928825788,3.68356028455203e-12,1.19736960557275e-09
"GAPDH",1672362.25171525,1.28002434904538,0.293346429876489,4.36352455212876,1.27983569512241e-05,0.000877158104627491
"TPI1",92070.9871672643,1.51049480188956,0.230344598658597,6.55754383079034,5.47012357423091e-11,1.28418748298924e-08
"TBX15",5512.10268990785,-1.21413735229833,0.370475046749258,-3.27724461593784,0.00104825510949283,0.030031620535182
"LOC107054727",183.949793467082,1.45579799173244,0.277810587808026,5.24025381184691,1.60355887695402e-07,1.90879969698267e-05
"CCDC181",46.1728053808334,1.40979980637051,0.41077985348736,3.4320081532769,0.000599129545942238,0.019495533826655
"TMEM45B",157.528726828905,-1.01309665928203,0.319437297271833,-3.17150397882283,0.00151651790609462,0.039255286625907
"MAP3K7CL",726.873874797291,1.69952831657386,0.520897783224885,3.26269063011184,0.00110359921937247,0.0313119899938562
"GART-B",52.250924947916,1.73756471058525,0.568454035676248,3.05664944135404,0.00223825876394862,0.0498462291001628
"LOC121107509",116.328245249444,7.26617500852268,0.775955206347104,9.36416812347843,7.66517125269535e-21,9.25459926316496e-18
"ABCG1",849.48260176917,-1.98173958710798,0.396714929677362,-4.99537435790398,5.87217445378531e-07,6.24260155926623e-05
"LOC101750611",3038.97205683243,3.06678045931985,0.865658813549854,3.54271268462426,0.000396033926918735,0.0146480557258367
"SRPX",845.745939069157,-1.37078075654506,0.303433514352304,-4.51756543594426,6.25546997602109e-06,0.000465798277553676
"ARX",899.660832727427,-1.74612251453464,0.372543271964427,-4.68703274475287,2.77194630225343e-06,0.000233105514164128
"SMPX",7478.79577791689,-1.40433745409346,0.379503886106287,-3.70045605725406,0.000215212345429245,0.0091630586266764
"KLHL34",3969.92832846136,1.26035349080897,0.295227395508412,4.26909395938175,1.96268584558617e-05,0.00125663935030087
"NHS",218.717853853455,-1.17560729814544,0.24490955417666,-4.8001691975538,1.58531636391405e-06,0.000148870013884662
"RGN",1329.80099034829,1.0462324026918,0.290561282056701,3.60072889025743,0.00031732633099094,0.0123874525929327
"ADPRHL1",2978.08948463237,-4.90149504273787,0.541144578790329,-9.05764417652422,1.33298281589326e-19,1.18586360721283e-16
"LOC121109116",3180.54640228483,-4.61900390254064,0.551936855236323,-8.36871801315555,5.82484551307308e-17,3.39508150715428e-14
"LOC107050459",40.3202828585805,1.85304768893182,0.501786243328437,3.69290253283995,0.000221709013200232,0.00934550486315091
"TEX30",393.433056927978,-3.83727788032821,0.481283148927469,-7.9730152382844,1.54849073394166e-15,8.17941839869245e-13
"METTL21C",830.400565081474,-4.55157738311888,0.945840596292131,-4.81220345263452,1.49275274011616e-06,0.000142553669865443
"FGF14",112.506989853843,-2.59722388100099,0.395733446643517,-6.56306385783109,5.27132591190967e-11,1.25494678716914e-08
"NALCN",259.568947231469,-1.06955268184717,0.286266340212105,-3.73621530583965,0.000186810731357841,0.00811738249907865
"CLDN10",70.8000523690337,-2.98618011751019,0.761879274795257,-3.91949251843434,8.87356156178353e-05,0.00446398247258414
"SLC25A30",4516.30484890605,1.87255701784714,0.605443708271777,3.0928672513458,0.00198232787108137,0.0462807845371388
"ARL11",108.645283654975,-1.17652534885208,0.384044568490511,-3.06351253313233,0.00218755041584124,0.049301552905286
"LOC124417662",56.0130901591713,1.66844660016206,0.466523775573299,3.57633777209264,0.000348441381778739,0.0133251237018236
"CRYL1",2769.25315209874,1.87385943556956,0.205639759846192,9.11234012805264,8.0623834232977e-20,8.51740418775006e-17
