"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107055489",278.405025325696,-1.62610614398653,0.374562538831335,-4.34134750650749,1.41611545986882e-05,0.000374554109876614
"LOC124418405",1733.92031001055,-3.99301965553156,0.356238232489825,-11.2088464722708,3.68970505605229e-29,2.18602725554244e-25
"CD69L",427.684052808429,-2.34566789646236,0.421053977740007,-5.57094344305368,2.53363572352934e-08,2.10433838084161e-06
"LOC107049847",618.282109830477,-1.21551559416838,0.30511295825787,-3.98382160203458,6.78157898491492e-05,0.00132643682106563
"NCAPH2",105.573738609868,1.0278915945067,0.359922725989119,2.85586744121786,0.00429194284687356,0.030398427107407
"IL15RA",120.408744564315,-1.02696852411326,0.338153867340076,-3.03698589104247,0.00238956640231341,0.0199399780444688
"LOC107053421",2.90477832934882,5.07777850917797,1.63639970199314,3.1030184758609,0.00191557681047573,0.0169031447497968
"TUBAL3",411.64010998317,2.42344542283893,0.492775044450953,4.91795485613343,8.74530733134188e-07,4.08500167234298e-05
"ITIH2",52.6773481244064,-1.03979406273067,0.359133549024617,-2.89528523735718,0.0037881414249151,0.0278334006272498
"LOC121108015",413.190590833442,-4.03048334659428,0.452041516343983,-8.91617960047561,4.82650516278129e-19,5.71908685088498e-16
"OPTN",14242.1515110749,-1.25686193809933,0.283774862819275,-4.4290812992121,9.4635346761692e-06,0.0002757154380179
"ELAPOR2",69.7662561940265,1.43218339266308,0.523159418771816,2.73756591446889,0.00618957149663022,0.039438352508305
"SEMA3A",789.951318594511,1.39893947478223,0.38120171410683,3.66981422961332,0.000242726800161231,0.00357399000152583
"FGL2",6771.52333531208,1.13419486735703,0.314737558641066,3.60362097315017,0.000313814586404104,0.00434408347962163
"LRRC17",920.981880703404,2.9170994101356,0.616469642537144,4.7319433251084,2.22380509602333e-06,8.98316176743606e-05
"PRKAR2B",369.456304643332,1.71040494568129,0.381710829055686,4.48089185709679,7.43317701429196e-06,0.000225072041315205
"LAMB1",8201.22414976065,1.03773757336837,0.227224722214317,4.56700997697594,4.94730472319224e-06,0.00016845477806517
"LOC112533030",40.2871239823749,1.45883376024228,0.514820079873635,2.8336768849427,0.00460158333816963,0.031961134135454
"LAMB4",35.1195402524206,1.48836182283056,0.498931132592445,2.98310072393566,0.00285344072060085,0.0226617763038246
"HDAC10",121.668361020615,1.23094173053953,0.360057208226363,3.41873930702049,0.000629119695134011,0.00745464897420794
"GPR37",114.309805027116,3.11365282844828,0.711774453454457,4.37449365221916,1.21714664688257e-05,0.000329779946672116
"ASB15",3154.75920756839,-1.00764779252481,0.23597103743701,-4.27021808892033,1.95281917243452e-05,0.000481436369129575
"IQUB",168.804624774254,-1.41240473176444,0.356309398943718,-3.96398393068362,7.37092163712545e-05,0.00142094101061028
"LOC121106667",34.0923032786598,-2.33452518387876,0.697001073014182,-3.34938535142148,0.000809910664692453,0.00897465845027659
"LOC121107739",31.8907164063509,2.5234545861812,0.815017376572244,3.09619728206803,0.00196019897113993,0.0171797714561347
"GPR85",16.0093381770459,-2.49797419540437,0.836826252226214,-2.98505715942705,0.00283525337941904,0.022557651551385
"AVPR2",40.4607631908475,1.63507968550467,0.515846585689348,3.16970147882175,0.00152595623470616,0.0143627724654602
"ADAMTS20",1880.09641254058,4.1948987492483,0.375478414400337,11.1721435596979,5.58173528391668e-29,2.48024407340838e-25
"LOC121106856",256.545623142607,-1.31925990353052,0.409265312337921,-3.22348330962687,0.00126641678435391,0.0125680021915725
"LOC112533248",38.5289333769906,2.65507773192859,0.701215301121776,3.7863944607043,0.000152848970659125,0.0024992986241907
"AMIGO2",54.1212019884635,-1.37293024262321,0.344840146611268,-3.98135268214837,6.85241860688689e-05,0.00133840536614074
"SLC16A7",1006.98075175642,1.62180362346481,0.535772011693942,3.02704058455234,0.00246960798512044,0.02040556699282
"SRGAP1",1450.66329922824,1.34218444672563,0.263182808678155,5.0998180825974,3.3998008133047e-07,1.79311749720112e-05
"LYZ",93.4564827353373,-3.22248365074884,0.57268124571312,-5.6270109679183,1.8335907322002e-08,1.5668385420253e-06
"GLIPR1",73.7342935817283,-1.63509862898135,0.563050368891827,-2.90400063532413,0.00368427412365,0.0272510562936975
"LOC101749281",81.9314659156533,-2.0661851320525,0.699125183136052,-2.95538650572455,0.00312277567973802,0.0242694424712128
"RASSF9",184.597162064345,-1.3133710537861,0.361804115476682,-3.63006112314591,0.000283354112399771,0.00405175864343807
"KERA",20.722453689368,3.72496356678179,1.23389807844873,3.01885839020421,0.00253729099581517,0.0207857692940142
"LUM",7632.3850945449,1.30834715693566,0.453348322456381,2.88596448277701,0.00390216190712972,0.0284600023542568
"PLEKHG7",22.2850261280314,2.41967845500413,0.891370690914829,2.7145591387134,0.00663640501455506,0.0415921941920668
"CEP83",151.700458398665,1.15757023578253,0.302827730004953,3.82253710967484,0.000132085592589993,0.00221271378199296
"ANKS1B",84.9449254817154,1.04763152423135,0.365402065712407,2.8670651387502,0.00414297730823023,0.0296685248495101
"MGP",18690.0165876301,2.75218803110649,0.448209736658537,6.14040215106529,8.23128257130107e-10,1.01599178071045e-07
"HIST1H4I",141.45248151098,-1.03026820073246,0.270773831798112,-3.80490313222224,0.000141859696249047,0.00234550161965633
"HIST1H2A4",6.73497290613667,-6.21617044917927,1.41128363633934,-4.40462164310435,1.05968665613796e-05,0.000300349339307805
"FMC1",414.034436623494,-1.2691757451003,0.285419367259224,-4.44670506170524,8.71974275264786e-06,0.00025617307055465
"LOC124416954",184.770726674649,-1.7993408159145,0.53512135840844,-3.36249112026869,0.000772426103337692,0.00871688987982485
"NDUFA6",2636.44743539993,-1.07820357326175,0.320995794613121,-3.35893364136203,0.000782438536362116,0.00878525745123199
"TNFRSF13C",20.3553414775465,-3.55143145615415,0.912423490168008,-3.89230603379162,9.9295879691752e-05,0.00177197285706948
"SHISA8",9.06803717068254,1.93606810934663,0.72699515562426,2.66311005564288,0.00774220876912093,0.0464499330878472
"LOC101749129",43.3734735434303,-1.53554933904776,0.450369827859546,-3.40952977766228,0.000650749733122168,0.0076396471311185
"GRAP2",131.099399072455,-1.27698055229453,0.456302214092038,-2.79854121425971,0.00513340177738043,0.034692427068882
"CACNA1I",11.1421406785156,2.58840960580284,0.879597857580355,2.94271931598739,0.0032534324766768,0.0249144803276404
"KDELR3",505.865187183421,1.1416037281462,0.429574646545526,2.65752119527198,0.00787176404351052,0.0469663424334864
"ANKRD54",2077.13127633183,-1.00077434731917,0.173591912721595,-5.76509776077069,8.16105212124426e-09,7.71566704271253e-07
"LGALS2",209.491997040288,-1.3355929560542,0.411959316896375,-3.24205061343511,0.00118672944375743,0.0119584755269512
"C1QTNF6",1078.51432478514,3.17891129585286,0.614326462519322,5.17462862142762,2.28364750626536e-07,1.26842346176126e-05
"MB",23809.3777625241,-2.34733284032886,0.759390833604533,-3.09107344526004,0.00199434297386786,0.0174017928412014
"LOC101749091",41.0697086548447,1.9692922442043,0.552011289361304,3.56748545212333,0.000360423382753852,0.00484215057072333
"LOC112533502",44.0813256232746,2.3108034935902,0.443898189963897,5.20570605115139,1.9326036535626e-07,1.11165363554763e-05
"MTERF2",185.909301436725,-1.15396429439573,0.369135854081404,-3.12612357113717,0.00177127106482722,0.0160461630510903
